towerId,displayName,grade,damage,rate,range,slowValue,spawnWeight,sell,doubleShot,upgradeDamage,upgradeRate,upgradeRange,upgradeSlow
1Tower01Cannon,1Tower01Cannon,1,5,2,3,0,1,0,0,1.5,0,0,0
1Tower02Laser,1Tower02Laser,1,2,1,2,0,1,0,0,1,0,0,0
1Tower03MultiShoot,1Tower03MultiShoot,1,2,1.5,3,0,1,0,0,1.2,-0.05,0,0
1Tower04MultiShoot,1Tower04MultiShoot,1,2,1.5,3,0,1,0,0,1.2,-0.05,0,0
2Tower01ChainLightning,2Tower01ChainLightning,2,4,1.5,3,0,1,0,0,1.3,0,0,0
2Tower02Bomb,2Tower02Bomb,2,5,1.5,3,0,1,0,0,1.5,0,0.1,0
2Tower03Slow,2Tower03Slow,2,0,0,3,0.3,1,0,0,0,0,0.1,0.03
3Tower01MultiBomb,3Tower01MultiBomb,3,10,2,3,0,1,0,0,3.3,-0.05,0,0
3Tower02Cannon,3Tower02Cannon,3,30,1.5,3.2,0,1,0,0,5,-0.02,0.01,0
3Tower03MultiShoot,3Tower03MultiShoot,3,10,1.5,3,0,1,0,1,3.4,-0.05,0,0
4Tower01Laser,4Tower01Laser,4,30,1,2.5,0,1,0,0,7.5,0,0,0
