towerId,displayName,grade,damage,rate,range,slowValue,spawnWeight,sell,doubleShot,upgradeDamage,upgradeRate,upgradeRange,upgradeSlow
1Tower01Cannon,Cannon,1,5,2,3,0,1,0,0,1.5,0,0,0
1Tower02Laser,Laser,1,2,1,2,0,1,0,0,1,0,0,0
1Tower03MultiShoot,Multi Shot,1,2,1.5,3,0,1,0,0,1.2,-0.05,0,0
2Tower01ChainLightning,Chain Lightning,2,4,1.5,3,0,1,0,0,1.3,0,0,0
2Tower02Bomb,Bomb,2,5,1.5,3,0,1,0,0,1.5,0,0.1,0
2Tower03Slow,Slow Aura,2,0,0,3,0.3,1,0,0,0,0,0.1,0.03
3Tower01MultiBomb,Multi Bomb,3,10,2,3,0,1,0,0,3.3,-0.05,0,0
3Tower02Cannon,Heavy Cannon,3,30,1.5,3.2,0,1,0,0,5,-0.02,0.01,0
3Tower03MultiShoot,Multi Shot+,3,10,1.5,3,0,1,0,1,3.4,-0.05,0,0
4Tower01Laser,Laser+,4,30,1,2.5,0,1,0,0,7.5,0,0,0
