Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"mscorlib.dll!System.IO::StreamWriter..ctor()";96.4834;96.4834;96.4834;61925;61925;61925;21;24;96.4833984375;96.4834;96.4834;96.4834;18;18;18;18;1;61925;0.9744;10.3938;61925;61925;0
"mscorlib.dll!System.IO::FileStream..ctor()";96.2594;96.2594;96.2594;61925;61925;61925;24;27;96.2593994140625;96.2594;96.2594;96.2594;18;18;18;18;1;61925;0.9614;10.3818;61925;61925;0
"mscorlib.dll!System.IO::MonoIO.Open()";57.3884;57.3884;57.3884;61925;61925;61925;27;29;57.3884010314941;57.3884;57.3884;57.3884;12;12;12;12;1;61925;0.2854;9.8967;61925;61925;0
"Assembly-CSharp.dll!::WaveSystem.FinishWave()";57.3546;57.3546;57.3546;61925;61925;61925;16;16;57.3545989990234;57.3546;57.3546;57.3546;1;1;1;1;1;61925;57.3546;57.3546;61925;61925;0
"Assembly-CSharp.dll!::WaveSystem.EndRun()";55.1947;55.1947;55.1947;61925;61925;61925;17;17;55.1946983337402;55.1947;55.1947;55.1947;1;1;1;1;1;61925;55.1947;55.1947;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json::JsonConvert.SerializeObject()";54.841;54.841;54.841;61925;61925;61925;20;23;54.8409957885742;54.841;54.841;54.841;17;17;17;17;1;61925;0.0621;16.751;61925;61925;0
"Application.WaitForAsyncOperationToComplete";36.8748;36.8748;36.8748;62046;62046;62046;5;5;36.8748016357422;36.8748;36.8748;36.8748;1;1;1;1;1;62046;36.8748;36.8748;62046;62046;0
"Unity.ResourceManager.dll!UnityEngine.ResourceManagement.AsyncOperations::AsyncOperationBase`1.DecrementReferenceCount()";34.6879;34.6879;34.6879;62046;62046;62046;14;22;34.6878967285156;34.6879;34.6879;34.6879;19;19;19;19;1;62046;0;11.2751;62046;62046;0
"mscorlib.dll!System.IO::File.WriteAllText()";32.8762;32.8762;32.8762;61925;61925;61925;20;21;32.8762016296387;32.8762;32.8762;32.8762;6;6;6;6;1;61925;1.1036;10.5188;61925;61925;0
"Application.LoadLevelAsync Integrate";27.4166;27.4166;27.4166;62046;62046;62046;7;7;27.4165992736816;27.4166;27.4166;27.4166;1;1;1;1;1;62046;27.4166;27.4166;62046;62046;0
"Assembly-CSharp.dll!::MetaProgressService.Save()";23.704;23.704;23.704;61925;61925;61925;19;20;23.7039985656738;23.704;23.704;23.704;4;4;4;4;1;61925;1.6829;7.9017;61925;61925;0
"Unity.ResourceManager.dll!UnityEngine.ResourceManagement.AsyncOperations::AsyncOperationHandle`1.Release()";23.5002;23.5002;23.5002;62046;62046;62046;13;19;23.5002002716064;23.5002;23.5002;23.5002;15;15;15;15;1;62046;0.0003;11.2753;62046;62046;0
"UnloadScene";23.2959;23.2959;23.2959;62046;62046;62046;8;8;23.2959003448486;23.2959;23.2959;23.2959;1;1;1;1;1;62046;23.2959;23.2959;62046;62046;0
"Assembly-CSharp.dll!::WaveRunRewards.RecordMetaProgress()";22.8738;22.8738;22.8738;61925;61925;61925;18;18;22.87380027771;22.8738;22.8738;22.8738;1;1;1;1;1;61925;22.8738;22.8738;61925;61925;0
"Unity.ResourceManager.dll!UnityEngine.ResourceManagement.AsyncOperations::ProviderOperation`1.Destroy()";22.3165;22.3165;22.3165;62046;62046;62046;15;23;22.3164978027344;22.3165;22.3165;22.3165;9;9;9;9;1;62046;0.001;11.2591;62046;62046;0
"Assembly-CSharp.dll!::WaveSystem.EndSessionStats()";19.527;19.527;19.527;61925;61925;61925;18;18;19.5270004272461;19.527;19.527;19.527;1;1;1;1;1;61925;19.527;19.527;61925;61925;0
"Assembly-CSharp.dll!::PlaySessionStatsService.EndRun()";19.2203;19.2203;19.2203;61925;61925;61925;19;19;19.2203006744385;19.2203;19.2203;19.2203;1;1;1;1;1;61925;19.2203;19.2203;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Utilities::ThreadSafeStore`2.Get()";18.5188;18.5188;18.5188;61925;61925;61925;29;49;18.518798828125;18.5188;18.5188;18.5188;329;329;329;329;1;61925;0.0013;6.7013;61925;61925;0
"mscorlib.dll!System.Collections.Concurrent::ConcurrentDictionary`2.GetOrAdd()";18.4662;18.4662;18.4662;61925;61925;61925;30;50;18.4661979675293;18.4662;18.4662;18.4662;329;329;329;329;1;61925;0.0012;6.7009;61925;61925;0
"Assembly-CSharp.dll!::PlaySessionStatsService.SaveToQueue()";18.338;18.338;18.338;61925;61925;61925;20;20;18.3379993438721;18.338;18.338;18.338;1;1;1;1;1;61925;18.338;18.338;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json::JsonConvert.SerializeObjectInternal()";18.2533;18.2533;18.2533;61925;61925;61925;22;24;18.2532997131348;18.2533;18.2533;18.2533;6;6;6;6;1;61925;0.0549;16.7449;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json::JsonSerializer.Serialize()";18.1556;18.1556;18.1556;61925;61925;61925;23;25;18.1555995941162;18.1556;18.1556;18.1556;6;6;6;6;1;61925;0.0418;16.7265;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json::JsonSerializer.SerializeInternal()";18.154;18.154;18.154;61925;61925;61925;24;26;18.1539993286133;18.154;18.154;18.154;6;6;6;6;1;61925;0.0416;16.7262;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::JsonSerializerInternalWriter.Serialize()";18.1091;18.1091;18.1091;61925;61925;61925;25;27;18.1091003417969;18.1091;18.1091;18.1091;6;6;6;6;1;61925;0.0357;16.7183;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::JsonSerializerInternalWriter.SerializeValue()";16.8908;16.8908;16.8908;61925;61925;61925;26;34;16.8907985687256;16.8908;16.8908;16.8908;84;84;84;84;1;61925;0.0022;10.0116;61925;61925;0
"PlayerLoop";16.6477;1.0454;1336.93;60584;62097;62096;1;1;34870.7407748699;17.43537;16.5822;16.7156;2000;1;1;1;2000;60314;1.0454;1336.93;62097;62096;16.6477
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::DefaultContractResolver.ResolveContract()";14.3654;14.3654;14.3654;61925;61925;61925;28;35;14.3653993606567;14.3654;14.3654;14.3654;54;54;54;54;1;61925;0.0016;6.7019;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::DefaultContractResolver.CreateContract()";14.1243;14.1243;14.1243;61925;61925;61925;33;36;14.1243000030518;14.1243;14.1243;14.1243;4;4;4;4;1;61925;1.5991;6.6951;61925;61925;0
"Assembly-CSharp.dll!::TowerBasePrefabLoader.OnDestroy()";13.0694;13.0694;13.0694;62046;62046;62046;10;10;13.0693998336792;13.0694;13.0694;13.0694;1;1;1;1;1;62046;13.0694;13.0694;62046;62046;0
"Assembly-CSharp.dll!::TowerBasePrefabLoader.ReleaseAll()";12.8355;12.8355;12.8355;62046;62046;62046;11;11;12.8354997634888;12.8355;12.8355;12.8355;1;1;1;1;1;62046;12.8355;12.8355;62046;62046;0
"Unity.Addressables.dll!UnityEngine.AddressableAssets::Addressables.Release()";12.2241;12.2241;12.2241;62046;62046;62046;12;12;12.224100112915;12.2241;12.2241;12.2241;8;8;8;8;1;62046;0.0004;11.2758;62046;62046;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::JsonSerializerInternalWriter.SerializeObject()";11.9364;11.9364;11.9364;61925;61925;61925;28;33;11.9364004135132;11.9364;11.9364;11.9364;16;16;16;16;1;61925;0.0359;10.0097;61925;61925;0
"Assembly-CSharp.dll!::ScoreService.SaveCurrentRun()";11.2283;11.2283;11.2283;61925;61925;61925;18;18;11.2283000946045;11.2283;11.2283;11.2283;1;1;1;1;1;61925;11.2283;11.2283;61925;61925;0
"Unity.ResourceManager.dll!UnityEngine.ResourceManagement.AsyncOperations::GroupOperation.Destroy()";11.2191;11.2191;11.2191;62046;62046;62046;18;18;11.2190999984741;11.2191;11.2191;11.2191;1;1;1;1;1;62046;11.2191;11.2191;62046;62046;0
"Unity.ResourceManager.dll!UnityEngine.ResourceManagement.AsyncOperations::GroupOperation.ReleaseDependencies()";11.2183;11.2183;11.2183;62046;62046;62046;19;19;11.2182998657227;11.2183;11.2183;11.2183;1;1;1;1;1;62046;11.2183;11.2183;62046;62046;0
"Unity.ResourceManager.dll!UnityEngine.ResourceManagement.AsyncOperations::AsyncOperationHandle.Release()";11.2161;11.2161;11.2161;62046;62046;62046;16;20;11.2160997390747;11.2161;11.2161;11.2161;4;4;4;4;1;62046;0.016;11.1508;62046;62046;0
"Unity.ResourceManager.dll!UnityEngine.ResourceManagement.AsyncOperations::AsyncOperationBase`1.UnityEngine.ResourceManagement.AsyncOperations.IAsyncOperation.DecrementReferenceCount()";11.195;11.195;11.195;62046;62046;62046;17;21;11.1950006484985;11.195;11.195;11.195;4;4;4;4;1;62046;0.003;11.1452;62046;62046;0
"Assembly-CSharp.dll!::ScoreService.SaveScore()";11.106;11.106;11.106;61925;61925;61925;19;19;11.1059999465942;11.106;11.106;11.106;1;1;1;1;1;61925;11.106;11.106;61925;61925;0
"TimeUpdate.WaitForLastPresentationAndUpdateTime";11.0463;0.055;17.7756;61241;62046;62306;2;2;21057.0855524465;10.52854;9.2138;12.4329;2000;1;1;1;2000;60314;0.055;17.7756;62046;62306;10.1944
"GfxDeviceD3D11.WaitForLastPresent";11.0432;0.0537;17.7664;61127;62046;62306;3;3;21050.2239551134;10.52511;9.2109;12.4295;2000;1;1;1;2000;60314;0.0537;17.7664;62046;62306;10.1915
"WaitForTargetFPS";11.0423;0.0533;17.7644;61127;62046;62306;4;4;21048.3188427724;10.52416;9.2102;12.4287;2000;1;1;1;2000;60314;0.0533;17.7644;62046;62306;10.1907
"DXGI.WaitOnSwapChain";10.9622;0.0024;16.1727;60686;60619;62306;5;5;20844.8785458326;10.42244;9.093;12.3214;2000;1;1;1;2000;60314;0.0024;16.1727;60619;62306;10.133
"Unity.ResourceManager.dll!UnityEngine.ResourceManagement.ResourceProviders::AssetBundleProvider.Release()";10.8364;10.8364;10.8364;62046;62046;62046;24;24;10.8364000320435;10.8364;10.8364;10.8364;3;3;3;3;1;62046;0.0104;10.8026;62046;62046;0
"Unity.ResourceManager.dll!UnityEngine.ResourceManagement.ResourceProviders::AssetBundleResource.Unload()";10.6476;10.6476;10.6476;62046;62046;62046;25;25;10.6475992202759;10.6476;10.6476;10.6476;3;3;3;3;1;62046;0.0081;10.6207;62046;62046;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::JsonTypeReflector.GetAttribute()";10.3717;10.3717;10.3717;61925;61925;61925;38;47;10.3717031478882;10.3717;10.3717;10.3717;348;348;348;348;1;61925;0.0145;0.6195;61925;61925;0
"UnityEngine.AssetBundleModule.dll!UnityEngine::AssetBundle.UnloadAsync()";9.628099;9.628099;9.628099;62046;62046;62046;26;26;9.62809944152832;9.628099;9.628099;9.628099;3;3;3;3;1;62046;0.0036;9.6149;62046;62046;0
"UnityEngine.AssetBundleModule.dll!UnityEngine::AssetBundle.UnloadAsync_Injected()";9.3944;9.3944;9.3944;62046;62046;62046;27;27;9.39439964294434;9.3944;9.3944;9.3944;3;3;3;3;1;62046;0.0019;9.3886;62046;62046;0
"Assembly-CSharp.dll!::MetaProgressService.AddCrystals()";9.0004;9.0004;9.0004;61925;61925;61925;18;19;9.00039958953857;9.0004;9.0004;9.0004;2;2;2;2;1;61925;1.6837;7.3167;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Utilities::ReflectionUtils.GetAttributes()";8.097099;8.097099;8.097099;61925;61925;61925;40;50;8.09709930419922;8.097099;8.097099;8.097099;487;487;487;487;1;61925;0.0101;0.2901;61925;61925;0
"Assembly-CSharp.dll!::MetaProgressService.MarkStageCleared()";8.0605;8.0605;8.0605;61925;61925;61925;19;19;8.0605001449585;8.0605;8.0605;8.0605;1;1;1;1;1;61925;8.0605;8.0605;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::DefaultContractResolver.CreateObjectContract()";7.829;7.829;7.829;61925;61925;61925;34;37;7.8289999961853;7.829;7.829;7.829;2;2;2;2;1;61925;1.4965;6.3325;61925;61925;0
"GarbageCollectAssetsProfile";7.6765;7.6765;7.6765;62046;62046;62046;7;7;7.67649984359741;7.6765;7.6765;7.6765;1;1;1;1;1;62046;7.6765;7.6765;62046;62046;0
"Assembly-CSharp.dll!::MetaProgressService.RecordScore()";7.1461;7.1461;7.1461;61925;61925;61925;19;19;7.14610004425049;7.1461;7.1461;7.1461;1;1;1;1;1;61925;7.1461;7.1461;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::JsonSerializerInternalWriter.GetContractSafe()";6.8095;6.8095;6.8095;61925;61925;61925;26;32;6.80950021743774;6.8095;6.8095;6.8095;31;31;31;31;1;61925;0.002;6.7034;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::JsonSerializerInternalWriter.GetContract()";6.8038;6.8038;6.8038;61925;61925;61925;27;33;6.80380010604858;6.8038;6.8038;6.8038;31;31;31;31;1;61925;0.0018;6.7027;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::DefaultContractResolver.CreateProperties()";6.7668;6.7668;6.7668;61925;61925;61925;35;38;6.76679992675781;6.7668;6.7668;6.7668;2;2;2;2;1;61925;1.0133;5.7535;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::JsonSerializerInternalWriter.CalculatePropertyValues()";6.2545;6.2545;6.2545;61925;61925;61925;29;34;6.25450038909912;6.2545;6.2545;6.2545;64;64;64;64;1;61925;0.0049;3.8991;61925;61925;0
"GC.DeleteUnusedAssets";5.2007;5.2007;5.2007;62046;62046;62046;8;8;5.20069980621338;5.2007;5.2007;5.2007;1;1;1;1;1;62046;5.2007;5.2007;62046;62046;0
"BatchDeleteObjects";5.1026;5.1026;5.1026;62046;62046;62046;9;9;5.10260009765625;5.1026;5.1026;5.1026;1;1;1;1;1;62046;5.1026;5.1026;62046;62046;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::DefaultContractResolver.InitializeContract()";4.9642;4.9642;4.9642;61925;61925;61925;35;38;4.96420001983643;4.9642;4.9642;4.9642;4;4;4;4;1;61925;0.2256;2.8705;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::DefaultContractResolver.CreateProperty()";4.2229;4.2229;4.2229;61925;61925;61925;36;39;4.22289991378784;4.2229;4.2229;4.2229;20;20;20;20;1;61925;0.1863;0.3367;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Utilities::ReflectionUtils.GetAttribute()";4.0942;4.0942;4.0942;61925;61925;61925;39;48;4.09420013427734;4.0942;4.0942;4.0942;236;236;236;236;1;61925;0.0113;0.0639;61925;61925;0
"mscorlib.dll!System::MonoCustomAttrs.GetCustomAttributes()";3.739301;3.739301;3.739301;61925;61925;61925;39;53;3.73930072784424;3.739301;3.739301;3.739301;258;258;258;258;1;61925;0.0083;0.2503;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::DefaultContractResolver.SetPropertySettingsFromAttributes()";3.6451;3.6451;3.6451;61925;61925;61925;37;40;3.64510011672974;3.6451;3.6451;3.6451;20;20;20;20;1;61925;0.16;0.3074;61925;61925;0
"mscorlib.dll!System.IO::FileSystem.DirectoryExists()";3.5659;3.5659;3.5659;61925;61925;61925;21;30;3.56589984893799;3.5659;3.5659;3.5659;36;36;36;36;1;61925;0.0546;0.1708;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::JsonSerializerInternalWriter.SerializeList()";3.3845;3.3845;3.3845;61925;61925;61925;27;31;3.3844997882843;3.3845;3.3845;3.3845;15;15;15;15;1;61925;0.0078;2.6408;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::CachedAttributeGetter`1.GetAttribute()";3.2309;3.2309;3.2309;61925;61925;61925;35;43;3.23090004920959;3.2309;3.2309;3.2309;101;101;101;101;1;61925;0.0014;0.6266;61925;61925;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::DefaultContractResolver.CreateArrayContract()";3.1649;3.1649;3.1649;61925;61925;61925;35;35;3.16490006446838;3.1649;3.1649;3.1649;1;1;1;1;1;61925;3.1649;3.1649;61925;61925;0
