Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"mscorlib.dll!System.IO::StreamWriter..ctor()";52.3128;52.3128;52.3128;25904;25904;25904;19;22;52.3127975463867;52.3128;52.3128;52.3128;12;12;12;12;1;25904;0.9483;9.4508;25904;25904;0
"Newtonsoft.Json.dll!Newtonsoft.Json::JsonConvert.SerializeObject()";52.3116;52.3116;52.3116;25904;25904;25904;18;21;52.3115997314453;52.3116;52.3116;52.3116;11;11;11;11;1;25904;0.0617;16.1649;25904;25904;0
"mscorlib.dll!System.IO::FileStream..ctor()";52.1599;52.1599;52.1599;25904;25904;25904;22;25;52.1598968505859;52.1599;52.1599;52.1599;12;12;12;12;1;25904;0.9395;9.4378;25904;25904;0
"Assembly-CSharp.dll!::WaveSystem.FinishWave()";41.0075;41.0075;41.0075;25904;25904;25904;14;14;41.0074996948242;41.0075;41.0075;41.0075;1;1;1;1;1;25904;41.0075;41.0075;25904;25904;0
"Assembly-CSharp.dll!::WaveSystem.EndRun()";37.8799;37.8799;37.8799;25904;25904;25904;15;15;37.8798980712891;37.8799;37.8799;37.8799;1;1;1;1;1;25904;37.8799;37.8799;25904;25904;0
"Application.WaitForAsyncOperationToComplete";33.3297;33.3297;33.3297;26017;26017;26017;5;5;33.3297004699707;33.3297;33.3297;33.3297;1;1;1;1;1;26017;33.3297;33.3297;26017;26017;0
"mscorlib.dll!System.IO::MonoIO.Open()";30.0482;30.0482;30.0482;25904;25904;25904;25;27;30.0482006072998;30.0482;30.0482;30.0482;8;8;8;8;1;25904;0.2771;8.9985;25904;25904;0
"Unity.ResourceManager.dll!UnityEngine.ResourceManagement.AsyncOperations::AsyncOperationBase`1.DecrementReferenceCount()";29.2417;29.2417;29.2417;26017;26017;26017;14;22;29.24169921875;29.2417;29.2417;29.2417;19;19;19;19;1;26017;0.0001;9.4756;26017;26017;0
"Application.LoadLevelAsync Integrate";26.0826;26.0826;26.0826;26017;26017;26017;7;7;26.0825996398926;26.0826;26.0826;26.0826;1;1;1;1;1;26017;26.0826;26.0826;26017;26017;0
"UnloadScene";21.0875;21.0875;21.0875;26017;26017;26017;8;8;21.0874996185303;21.0875;21.0875;21.0875;1;1;1;1;1;26017;21.0875;21.0875;26017;26017;0
