Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"Application.WaitForAsyncOperationToComplete";281.7239;281.7239;281.7239;79669;79669;79669;6;6;281.723907470703;281.7239;281.7239;281.7239;1;1;1;1;1;79669;281.7239;281.7239;79669;79669;0
"Application.LoadLevelAsync Integrate";258.6056;258.6056;258.6056;79669;79669;79669;8;8;258.605590820313;258.6056;258.6056;258.6056;1;1;1;1;1;79669;258.6056;258.6056;79669;79669;0
"GC.Collect";229.4269;229.4269;229.4269;79669;79669;79669;9;9;229.426895141602;229.4269;229.4269;229.4269;1;1;1;1;1;79669;229.4269;229.4269;79669;79669;0
"GarbageCollectAssetsProfile";22.5272;22.5272;22.5272;79669;79669;79669;8;8;22.5272006988525;22.5272;22.5272;22.5272;1;1;1;1;1;79669;22.5272;22.5272;79669;79669;0
"GC.MarkDependencies";16.3638;16.3638;16.3638;79669;79669;79669;9;9;16.3638000488281;16.3638;16.3638;16.3638;1;1;1;1;1;79669;16.3638;16.3638;79669;79669;0
"UnloadScene";11.8969;11.8969;11.8969;79669;79669;79669;9;9;11.896900177002;11.8969;11.8969;11.8969;1;1;1;1;1;79669;11.8969;11.8969;79669;79669;0
"Mono.JIT";5.5442;0.2407;6.0156;79669;79668;79112;6;14;11.8004996776581;3.9335;0.2407;5.5442;103;46;2;55;3;79112;0.0238;0.5247;79112;79669;0
"GC.DeleteUnusedAssets";3.9505;3.9505;3.9505;79669;79669;79669;9;9;3.95050001144409;3.9505;3.9505;3.9505;1;1;1;1;1;79669;3.9505;3.9505;79669;79669;0
"BatchDeleteObjects";3.8397;3.8397;3.8397;79669;79669;79669;10;10;3.8396999835968;3.8397;3.8397;3.8397;1;1;1;1;1;79669;3.8397;3.8397;79669;79669;0
"Assembly-CSharp.dll!::TowerBasePrefabLoader.OnDestroy() [Invoke]";3.5386;3.5386;3.5386;79669;79669;79669;11;11;3.53859996795654;3.5386;3.5386;3.5386;1;1;1;1;1;79669;3.5386;3.5386;79669;79669;0
"EditorLoop";2.2411;1.7667;316.2001;80337;80382;81029;1;1;5330.56855964661;2.665284;2.013;2.8401;8000;4;4;4;2000;79030;0.0158;297.8887;79676;81029;2.594
"LoadSceneOperation.CompleteAwakeSequence";2.0846;2.0846;2.0846;79669;79669;79669;9;9;2.08459997177124;2.0846;2.0846;2.0846;1;1;1;1;1;79669;2.0846;2.0846;79669;79669;0
"Loading.AwakeFromLoad";1.6639;1.6639;1.6639;79669;79669;79669;8;10;1.66389977931976;1.6639;1.6639;1.6639;154;154;154;154;1;79669;0;0.2754;79669;79669;0
"GC.BuildLiveObjectMaps";0.9432;0.9432;0.9432;79669;79669;79669;9;9;0.943199992179871;0.9432;0.9432;0.9432;1;1;1;1;1;79669;0.9432;0.9432;79669;79669;0
"Unity.TextMeshPro.dll!TMPro::TextMeshProUGUI.OnDestroy() [Invoke]";0.8916;0.8916;0.8916;79669;79669;79669;11;11;0.891599953174591;0.8916;0.8916;0.8916;17;17;17;17;1;79669;0.0473;0.08;79669;79669;0
"Assembly-CSharp.dll!::TargetProjectile.OnTriggerEnter2D() [Invoke]";0.8884;0.8884;0.8884;79034;79034;79034;8;8;0.888400018215179;0.8884;0.8884;0.8884;1;1;1;1;1;79034;0.8884;0.8884;79034;79034;0
"GC.FindLiveObjects";0.8338;0.8338;0.8338;79669;79669;79669;9;9;0.83380001783371;0.8338;0.8338;0.8338;1;1;1;1;1;79669;0.8338;0.8338;79669;79669;0
"PlayerLoop";0.7258;0.4612;284.3501;80769;80939;79669;1;1;2605.86378121376;1.302932;0.6009;1.5652;6001;3;3;4;2000;79030;0.0001;284.0329;79927;79669;0.8365
"Assembly-CSharp.dll!::BuildModeController.OnDestroy() [Invoke]";0.6745;0.6745;0.6745;79669;79669;79669;11;11;0.674499988555908;0.6745;0.6745;0.6745;1;1;1;1;1;79669;0.6745;0.6745;79669;79669;0
